Embedding,Scene,Query,Seed,_val
GraphEmbedding,FloorPlan201,AlarmClock,42,-1
GraphEmbedding,FloorPlan201,Apple,42,-1
GraphEmbedding,FloorPlan201,ArmChair,42,"[6, 12]"
GraphEmbedding,FloorPlan201,BaseballBat,42,-1
GraphEmbedding,FloorPlan201,BasketBall,42,-1
GraphEmbedding,FloorPlan201,Bathtub,42,-1
GraphEmbedding,FloorPlan201,BathtubBasin,42,-1
GraphEmbedding,FloorPlan201,Bed,42,-1
GraphEmbedding,FloorPlan201,Blinds,42,-1
GraphEmbedding,FloorPlan201,Book,42,-3
GraphEmbedding,FloorPlan201,Boots,42,-1
GraphEmbedding,FloorPlan201,Bowl,42,"[1, 2]"
GraphEmbedding,FloorPlan201,Box,42,"[9, 9]"
GraphEmbedding,FloorPlan201,Bread,42,-1
GraphEmbedding,FloorPlan201,ButterKnife,42,-1
GraphEmbedding,FloorPlan201,Cabinet,42,-1
GraphEmbedding,FloorPlan201,Candle,42,-1
GraphEmbedding,FloorPlan201,Cart,42,-1
GraphEmbedding,FloorPlan201,CD,42,-1
GraphEmbedding,FloorPlan201,CellPhone,42,-1
GraphEmbedding,FloorPlan201,Chair,42,"[15, 15]"
GraphEmbedding,FloorPlan201,Cloth,42,-1
GraphEmbedding,FloorPlan201,CoffeeMachine,42,-1
GraphEmbedding,FloorPlan201,CoffeeTable,42,"[5, 5]"
GraphEmbedding,FloorPlan201,CounterTop,42,-1
GraphEmbedding,FloorPlan201,CreditCard,42,"[10, 13]"
GraphEmbedding,FloorPlan201,Cup,42,-1
GraphEmbedding,FloorPlan201,Curtains,42,"[7, 7]"
GraphEmbedding,FloorPlan201,Desk,42,-1
GraphEmbedding,FloorPlan201,DeskLamp,42,"[8, 8]"
GraphEmbedding,FloorPlan201,DiningTable,42,"[12, 12]"
GraphEmbedding,FloorPlan201,DishSponge,42,-1
GraphEmbedding,FloorPlan201,Drawer,42,"[5, 5]"
GraphEmbedding,FloorPlan201,Dresser,42,-1
GraphEmbedding,FloorPlan201,Egg,42,-1
GraphEmbedding,FloorPlan201,Faucet,42,-1
GraphEmbedding,FloorPlan201,FloorLamp,42,"[11, 11]"
GraphEmbedding,FloorPlan201,Footstool,42,-1
GraphEmbedding,FloorPlan201,Fork,42,-1
GraphEmbedding,FloorPlan201,Fridge,42,-1
GraphEmbedding,FloorPlan201,GarbageCan,42,-3
GraphEmbedding,FloorPlan201,HandTowel,42,-1
GraphEmbedding,FloorPlan201,HandTowelHolder,42,-1
GraphEmbedding,FloorPlan201,HousePlant,42,"[25, 68]"
GraphEmbedding,FloorPlan201,Kettle,42,-1
GraphEmbedding,FloorPlan201,KeyChain,42,"[6, 10]"
GraphEmbedding,FloorPlan201,Knife,42,-1
GraphEmbedding,FloorPlan201,Ladle,42,-1
GraphEmbedding,FloorPlan201,Lamp,42,-1
GraphEmbedding,FloorPlan201,Laptop,42,"[3, 3]"
GraphEmbedding,FloorPlan201,LaundryHamper,42,-1
GraphEmbedding,FloorPlan201,Lettuce,42,-1
GraphEmbedding,FloorPlan201,LightSwitch,42,"[16, 109]"
GraphEmbedding,FloorPlan201,Microwave,42,-1
GraphEmbedding,FloorPlan201,Mirror,42,-1
GraphEmbedding,FloorPlan201,Mug,42,-1
GraphEmbedding,FloorPlan201,Newspaper,42,"[19, 22]"
GraphEmbedding,FloorPlan201,Ottoman,42,-1
GraphEmbedding,FloorPlan201,Painting,42,"[9, 9]"
GraphEmbedding,FloorPlan201,Pan,42,-1
GraphEmbedding,FloorPlan201,PaperTowel,42,-1
GraphEmbedding,FloorPlan201,Pen,42,"[16, 35]"
GraphEmbedding,FloorPlan201,Pencil,42,"[12, 16]"
GraphEmbedding,FloorPlan201,PepperShaker,42,-1
GraphEmbedding,FloorPlan201,Pillow,42,"[27, 28]"
GraphEmbedding,FloorPlan201,Plate,42,"[17, 25]"
GraphEmbedding,FloorPlan201,Plunger,42,-1
GraphEmbedding,FloorPlan201,Poster,42,-1
GraphEmbedding,FloorPlan201,Pot,42,-1
GraphEmbedding,FloorPlan201,Potato,42,-1
GraphEmbedding,FloorPlan201,RemoteControl,42,-3
GraphEmbedding,FloorPlan201,RoomDecor,42,-1
GraphEmbedding,FloorPlan201,Safe,42,-1
GraphEmbedding,FloorPlan201,SaltShaker,42,-1
GraphEmbedding,FloorPlan201,ScrubBrush,42,-1
GraphEmbedding,FloorPlan201,Shelf,42,"[15, 48]"
GraphEmbedding,FloorPlan201,ShowerCurtain,42,-1
GraphEmbedding,FloorPlan201,ShowerDoor,42,-1
GraphEmbedding,FloorPlan201,ShowerGlass,42,-1
GraphEmbedding,FloorPlan201,ShowerHead,42,-1
GraphEmbedding,FloorPlan201,SideTable,42,"[1, 1]"
GraphEmbedding,FloorPlan201,Sink,42,-1
GraphEmbedding,FloorPlan201,SinkBasin,42,-1
GraphEmbedding,FloorPlan201,SoapBar,42,-1
GraphEmbedding,FloorPlan201,SoapBottle,42,-1
GraphEmbedding,FloorPlan201,Sofa,42,"[11, 11]"
GraphEmbedding,FloorPlan201,Spatula,42,-1
GraphEmbedding,FloorPlan201,Spoon,42,-1
GraphEmbedding,FloorPlan201,SprayBottle,42,-1
GraphEmbedding,FloorPlan201,Statue,42,"[14, 43]"
GraphEmbedding,FloorPlan201,Stool,42,-1
GraphEmbedding,FloorPlan201,StoveBurner,42,-1
GraphEmbedding,FloorPlan201,StoveKnob,42,-1
GraphEmbedding,FloorPlan201,TableTopDecor,42,-1
GraphEmbedding,FloorPlan201,TeddyBear,42,-1
GraphEmbedding,FloorPlan201,Television,42,"[20, 30]"
GraphEmbedding,FloorPlan201,TennisRacket,42,-1
GraphEmbedding,FloorPlan201,TissueBox,42,"[10, 14]"
GraphEmbedding,FloorPlan201,Toaster,42,-1
GraphEmbedding,FloorPlan201,Toilet,42,-1
GraphEmbedding,FloorPlan201,ToiletPaper,42,-1
GraphEmbedding,FloorPlan201,ToiletPaperHanger,42,-1
GraphEmbedding,FloorPlan201,Tomato,42,-1
GraphEmbedding,FloorPlan201,Towel,42,-1
GraphEmbedding,FloorPlan201,TowelHolder,42,-1
GraphEmbedding,FloorPlan201,TVStand,42,"[2, 2]"
GraphEmbedding,FloorPlan201,Vase,42,"[10, 25]"
GraphEmbedding,FloorPlan201,Watch,42,"[21, 41]"
GraphEmbedding,FloorPlan201,WateringCan,42,-1
GraphEmbedding,FloorPlan201,Window,42,"[3, 3]"
GraphEmbedding,FloorPlan201,WineBottle,42,-1
GraphEmbedding,FloorPlan202,AlarmClock,42,-1
GraphEmbedding,FloorPlan202,Apple,42,-1
GraphEmbedding,FloorPlan202,ArmChair,42,"[7, 7]"
GraphEmbedding,FloorPlan202,BaseballBat,42,-1
GraphEmbedding,FloorPlan202,BasketBall,42,-1
GraphEmbedding,FloorPlan202,Bathtub,42,-1
GraphEmbedding,FloorPlan202,BathtubBasin,42,-1
GraphEmbedding,FloorPlan202,Bed,42,-1
GraphEmbedding,FloorPlan202,Blinds,42,-1
GraphEmbedding,FloorPlan202,Book,42,"[5, 7]"
GraphEmbedding,FloorPlan202,Boots,42,-1
GraphEmbedding,FloorPlan202,Bowl,42,-1
GraphEmbedding,FloorPlan202,Box,42,"[15, 24]"
GraphEmbedding,FloorPlan202,Bread,42,-1
GraphEmbedding,FloorPlan202,ButterKnife,42,-1
GraphEmbedding,FloorPlan202,Cabinet,42,-1
GraphEmbedding,FloorPlan202,Candle,42,-1
GraphEmbedding,FloorPlan202,Cart,42,-1
GraphEmbedding,FloorPlan202,CD,42,-1
GraphEmbedding,FloorPlan202,CellPhone,42,-1
GraphEmbedding,FloorPlan202,Chair,42,-1
GraphEmbedding,FloorPlan202,Cloth,42,-1
GraphEmbedding,FloorPlan202,CoffeeMachine,42,-1
GraphEmbedding,FloorPlan202,CoffeeTable,42,"[3, 3]"
GraphEmbedding,FloorPlan202,CounterTop,42,-1
GraphEmbedding,FloorPlan202,CreditCard,42,"[8, 9]"
GraphEmbedding,FloorPlan202,Cup,42,-1
GraphEmbedding,FloorPlan202,Curtains,42,"[11, 11]"
GraphEmbedding,FloorPlan202,Desk,42,-1
GraphEmbedding,FloorPlan202,DeskLamp,42,-1
GraphEmbedding,FloorPlan202,DiningTable,42,-1
GraphEmbedding,FloorPlan202,DishSponge,42,-1
GraphEmbedding,FloorPlan202,Drawer,42,-1
GraphEmbedding,FloorPlan202,Dresser,42,-1
GraphEmbedding,FloorPlan202,Egg,42,-1
GraphEmbedding,FloorPlan202,Faucet,42,-1
GraphEmbedding,FloorPlan202,FloorLamp,42,"[16, 16]"
GraphEmbedding,FloorPlan202,Footstool,42,-1
GraphEmbedding,FloorPlan202,Fork,42,-1
GraphEmbedding,FloorPlan202,Fridge,42,-1
GraphEmbedding,FloorPlan202,GarbageCan,42,"[10, 39]"
GraphEmbedding,FloorPlan202,HandTowel,42,-1
GraphEmbedding,FloorPlan202,HandTowelHolder,42,-1
GraphEmbedding,FloorPlan202,HousePlant,42,"[5, 5]"
GraphEmbedding,FloorPlan202,Kettle,42,-1
GraphEmbedding,FloorPlan202,KeyChain,42,"[13, 40]"
GraphEmbedding,FloorPlan202,Knife,42,-1
GraphEmbedding,FloorPlan202,Ladle,42,-1
GraphEmbedding,FloorPlan202,Lamp,42,-1
GraphEmbedding,FloorPlan202,Laptop,42,"[8, 8]"
GraphEmbedding,FloorPlan202,LaundryHamper,42,-1
GraphEmbedding,FloorPlan202,Lettuce,42,-1
GraphEmbedding,FloorPlan202,LightSwitch,42,"[11, 31]"
GraphEmbedding,FloorPlan202,Microwave,42,-1
GraphEmbedding,FloorPlan202,Mirror,42,-1
GraphEmbedding,FloorPlan202,Mug,42,-1
GraphEmbedding,FloorPlan202,Newspaper,42,-1
GraphEmbedding,FloorPlan202,Ottoman,42,-1
GraphEmbedding,FloorPlan202,Painting,42,"[10, 10]"
GraphEmbedding,FloorPlan202,Pan,42,-1
GraphEmbedding,FloorPlan202,PaperTowel,42,-1
GraphEmbedding,FloorPlan202,Pen,42,-1
GraphEmbedding,FloorPlan202,Pencil,42,-1
GraphEmbedding,FloorPlan202,PepperShaker,42,-1
GraphEmbedding,FloorPlan202,Pillow,42,"[10, 19]"
GraphEmbedding,FloorPlan202,Plate,42,-1
GraphEmbedding,FloorPlan202,Plunger,42,-1
GraphEmbedding,FloorPlan202,Poster,42,-1
GraphEmbedding,FloorPlan202,Pot,42,-1
GraphEmbedding,FloorPlan202,Potato,42,-1
GraphEmbedding,FloorPlan202,RemoteControl,42,"[8, 10]"
GraphEmbedding,FloorPlan202,RoomDecor,42,-1
GraphEmbedding,FloorPlan202,Safe,42,-1
GraphEmbedding,FloorPlan202,SaltShaker,42,-1
GraphEmbedding,FloorPlan202,ScrubBrush,42,-1
GraphEmbedding,FloorPlan202,Shelf,42,"[11, 11]"
GraphEmbedding,FloorPlan202,ShowerCurtain,42,-1
GraphEmbedding,FloorPlan202,ShowerDoor,42,-1
GraphEmbedding,FloorPlan202,ShowerGlass,42,-1
GraphEmbedding,FloorPlan202,ShowerHead,42,-1
GraphEmbedding,FloorPlan202,SideTable,42,"[9, 9]"
GraphEmbedding,FloorPlan202,Sink,42,-1
GraphEmbedding,FloorPlan202,SinkBasin,42,-1
GraphEmbedding,FloorPlan202,SoapBar,42,-1
GraphEmbedding,FloorPlan202,SoapBottle,42,-1
GraphEmbedding,FloorPlan202,Sofa,42,"[8, 8]"
GraphEmbedding,FloorPlan202,Spatula,42,-1
GraphEmbedding,FloorPlan202,Spoon,42,-1
GraphEmbedding,FloorPlan202,SprayBottle,42,-1
GraphEmbedding,FloorPlan202,Statue,42,"[9, 28]"
GraphEmbedding,FloorPlan202,Stool,42,-1
GraphEmbedding,FloorPlan202,StoveBurner,42,-1
GraphEmbedding,FloorPlan202,StoveKnob,42,-1
GraphEmbedding,FloorPlan202,TableTopDecor,42,-1
GraphEmbedding,FloorPlan202,TeddyBear,42,-1
GraphEmbedding,FloorPlan202,Television,42,"[11, 11]"
